Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",0402,2,22nF, C1532
C10,0603,1,10uF,C96446
"C11, C14, C15, C16, C17, C18, C19, C2, C5, C8, C9",0402,11,100nF, C307331
C12,1206,1,4.7uF,C29823
C13,0603,1,33pF, C1663
"C3, C6",CP_Elec_10x10.5,2,330uF,C46550419
C4,0603,1,33nF, C21117
"D1, D3, D4, D5",LED_WS2812B-2020_PLCC4_2.0x2.0mm,4,WS2812B-2020,C3646929
D2,D_SMA,1,D_Schottky,C2480
"J1, J5",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
"J10, J11",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06_Pin,
"J12, J3, J4, J6, J7, J8, J9",PinHeader_1x03_P2.54mm_Vertical,7,Conn_01x03_Pin,
"J13, J14",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J2,CONN-TH_2P-P5.08_DB128L-5.08-2P-BK-S,1,Screw_Terminal_01x02,C430601
L2,1008,1,4u7,C5832360
"R1, R19",0402,2,2k2, C25879
"R10, R15, R18",0603,3,20k,C4184
R11,0603,1,124k,C22788
R12,0603,1,23k7,C2933175
"R13, R16",0603,2,15k,C22809
"R14, R17",0603,2,75k,C23242
"R2, R21, R6",0402,3,10k,C25744
"R22, R9",0603,2,100k,C25803
R23,0402,1,470,C25117
R3,0402,1,120,C25079
R5,0603,1,3k,C4211
R7,0603,1,18k, C25810
R8,0603,1,510k,C23192
"U1, U3",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm,2,DRV8874,C1855818
U2,SOT-23-6,1,BL9342,C93176
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U5,HTSSOP20_PWP_TEX,1,TPS16630PWPR,C1849461
U6,SO-8_3.9x4.9mm_P1.27mm,1,M95320-WMN6TP,C283459
U7,TinyThinker_HAT,1,TinyThinker_J1,C1525
